92-U-236(n,total fission) ENDF/B-VII.1
101.513,0.0029466
101.574,0.0034591
101.626,0.00406574
101.672,0.00488345
101.707,0.00586876
101.733,0.00690939
101.758,0.00840946
101.78,0.0102299
101.799,0.0124356
101.818,0.0154144
101.838,0.0194294
101.857,0.0248132
101.876,0.0319745
101.896,0.0421256
101.917,0.0555508
101.937,0.073032
101.958,0.0954108
101.982,0.129523
102.007,0.173701
102.036,0.239785
102.07,0.338402
102.116,0.499706
102.204,0.832188
102.25,0.958294
102.294,1.0078
102.3,1.00839
102.341,0.973336
102.382,0.876178
102.445,0.649332
102.514,0.390167
102.552,0.271523
102.582,0.197045
102.609,0.144332
102.634,0.106129
102.657,0.0788797
102.677,0.0603889
102.697,0.0460473
102.715,0.0361665
102.734,0.0279992
102.753,0.021824
102.773,0.0171974
102.792,0.0137534
102.811,0.0111992
102.833,0.00904012
102.856,0.00750729
102.882,0.00622274
102.909,0.00533118
102.945,0.00451164
102.992,0.00378915
103.056,0.00314044
103.133,0.00261173
103.23,0.00215307
103.337,0.00180557
103.444,0.0015596
103.6,0.00131244
103.794,0.00111044
103.988,9.77047E-4
104.291,8.44809E-4
104.666,7.46712E-4
105.116,6.78841E-4
105.953,6.21399E-4
106.922,6.04278E-4
107.912,6.17291E-4
109.185,6.6588E-4
110.317,7.40701E-4
111.448,8.55463E-4
112.58,0.00102308
113.57,0.00124826
114.277,0.00147779
114.985,0.0017947
115.692,0.00224601
116.231,0.00273547
116.703,0.00332922
117.175,0.0041592
117.579,0.00516658
117.917,0.00633364
118.211,0.00773436
118.49,0.00954768
118.725,0.0116528
118.945,0.0143283
119.147,0.0177428
119.324,0.0218738
119.492,0.0273582
119.629,0.0335494
119.76,0.0417329
119.865,0.0508388
119.955,0.0612787
120.048,0.0763331
120.124,0.0933955
120.185,0.112311
120.238,0.134705
120.28,0.159259
120.322,0.193532
120.36,0.237851
120.394,0.294235
120.423,0.363259
120.453,0.458633
120.481,0.583944
120.508,0.74222
120.534,0.950881
120.564,1.25673
120.593,1.6508
120.623,2.17662
120.658,2.9336
120.7,4.0888
120.768,6.38236
120.847,9.06505
120.896,10.2283
120.946,10.7051
120.95,10.7071
120.997,10.331
121.046,9.24452
121.129,6.4883
121.197,4.1821
121.241,2.96928
121.274,2.22284
121.307,1.64917
121.338,1.24118
121.363,0.977585
121.391,0.754007
121.417,0.592959
121.444,0.471848
121.47,0.381284
121.502,0.302773
121.536,0.243711
121.574,0.197433
121.616,0.161827
121.666,0.132256
121.719,0.110444
121.793,0.0887868
121.868,0.0729698
121.957,0.059572
122.052,0.0490867
122.165,0.0399056
122.298,0.0322112
122.446,0.0261001
122.614,0.0211291
122.812,0.0170426
123.019,0.0140921
123.233,0.0119948
123.442,0.0106502
123.609,0.0100186
123.776,0.00983475
123.918,0.0101703
124.025,0.0109045
124.113,0.0120983
124.167,0.0133132
124.22,0.0153087
124.255,0.0174588
124.291,0.0207893
124.322,0.0252826
124.348,0.0309381
124.371,0.0374603
124.393,0.0461969
124.415,0.0578103
124.437,0.0730961
124.461,0.0952479
124.486,0.12431
124.512,0.165595
124.539,0.218653
124.569,0.293307
124.604,0.406426
124.645,0.570085
124.778,1.18436
124.828,1.34857
124.876,1.41018
124.88,1.41047
124.924,1.3646
124.968,1.23701
125.039,0.923355
125.117,0.559589
125.16,0.390911
125.194,0.283588
125.224,0.210756
125.251,0.158276
125.276,0.120961
125.3,0.0925491
125.324,0.0708147
125.348,0.0544522
125.369,0.0438178
125.391,0.0351372
125.413,0.0286294
125.44,0.0229505
125.466,0.0189367
125.493,0.0160726
