94-Pu-243(n,&gamma;) ENDF/B-VII.1
41.4065,16.3453
41.4278,21.2991
41.4477,27.3917
41.4708,36.6097
41.4968,49.8923
41.5314,71.8911
41.5976,117.448
41.6312,132.887
41.6598,137.357
41.6903,132.225
41.7215,117.688
41.8104,57.2812
41.8388,41.3915
41.8615,31.315
41.8842,23.5116
41.904,18.3192
41.9244,14.3042
41.9457,11.209
41.9646,9.17711
41.9882,7.32587
42.01,6.09968
42.0383,4.95553
42.0667,4.1455
42.1017,3.43087
42.1467,2.79169
42.1916,2.34145
42.2512,1.92016
42.3221,1.57813
42.4049,1.31057
42.4876,1.1304
42.5822,0.992668
42.7005,0.887758
42.8522,0.827808
42.9093,0.822712
43.0375,0.844121
43.1656,0.916366
43.2841,1.04457
43.3836,1.22173
43.4664,1.4473
43.5351,1.72042
43.6013,2.10523
43.6487,2.49802
43.696,3.05381
43.7315,3.64537
43.767,4.49023
43.7955,5.46752
43.8191,6.60936
43.8428,8.20302
43.8646,10.2482
43.8835,12.6513
43.9025,15.8197
43.9242,20.6684
43.9441,26.4718
43.9673,35.178
43.9943,48.1223
44.0312,70.2111
44.088,106.998
44.1236,123.977
44.1547,130.271
44.1598,130.399
44.1842,127.389
44.2111,117.731
44.2509,94.9392
44.3101,56.7128
44.3411,40.2225
44.3645,30.3636
44.3877,22.7827
44.4076,17.8128
44.4294,13.7084
44.4507,10.7619
44.472,8.60993
44.4961,6.86198
44.5217,5.56074
44.5501,4.54715
44.5842,3.70423
44.6202,3.08208
44.6652,2.53415
44.7191,2.07802
44.7755,1.744
44.8465,1.44972
44.9175,1.245
45.0122,1.05968
45.1069,0.939341
45.2489,0.837112
45.3528,0.80498
45.4093,0.800141
45.5371,0.820989
45.6649,0.891156
45.7832,1.01578
45.8827,1.18864
45.9657,1.40912
46.0344,1.67669
46.1008,2.05492
46.1481,2.44277
46.1955,2.99536
46.2311,3.58897
46.2595,4.2459
46.2856,5.07179
46.3093,6.10476
46.333,7.53826
46.3567,9.55598
46.3756,11.7553
46.3946,14.6427
46.4136,18.3948
46.4339,23.6017
46.4572,31.2692
46.4846,42.966
46.5197,61.7786
46.588,102.74
46.6236,118.286
46.6571,124.105
46.6598,124.136
46.6903,119.904
46.7264,105.448
46.8192,50.9296
46.8477,37.2354
46.8714,28.1372
46.8946,21.2054
46.9145,16.6447
46.9344,13.1468
46.9557,10.3412
46.9747,8.47948
46.9965,6.88534
47.0221,5.54588
47.0505,4.50741
47.079,3.77239
47.1117,3.16273
47.1567,2.57432
47.2017,2.16172
47.2643,1.76137
47.3354,1.45362
47.4183,1.21257
47.5131,1.03164
47.6079,0.914354
47.7501,0.814959
47.8534,0.784035
47.9093,0.779428
48.0367,0.799749
48.1641,0.867994
48.2823,0.989312
48.3819,1.15823
48.465,1.37408
48.5337,1.63663
48.5907,1.94606
48.6381,2.30541
48.6808,2.75506
48.7164,3.277
48.752,4.02115
48.7804,4.87893
48.8042,5.87561
48.8279,7.25598
48.8492,8.96674
48.8715,11.4112
48.8905,14.1896
48.9095,17.7786
48.9304,22.8577
48.9536,30.1344
48.9797,40.5194
49.0158,58.5051
49.0879,98.816
49.1236,113.108
49.1571,118.434
49.1598,118.463
49.193,113.906
49.2302,99.4931
49.3232,48.3862
49.3519,35.4796
49.3782,26.1198
49.4015,19.7663
49.4228,15.3126
49.4442,11.9506
49.4655,9.45162
49.4893,7.43661
49.5139,5.95101
49.5396,4.85881
49.568,4.00003
49.6031,3.26361
49.6392,2.73363
49.6843,2.26371
49.7412,1.85272
49.8005,1.55518
49.8717,1.30563
49.9428,1.13091
50.0377,0.972326
50.1563,0.850619
50.2986,0.777103
50.4094,0.760302
50.5365,0.780158
50.6635,0.846663
50.7815,0.964985
50.8812,1.13033
50.9643,1.342
51.0332,1.60008
51.0901,1.90524
51.1376,2.26127
51.1804,2.70976
51.216,3.23489
51.2516,3.99098
51.2801,4.86967
51.3038,5.89496
51.3276,7.31577
51.349,9.07181
51.3713,11.5666
51.3941,15.0339
51.4169,19.682
51.4401,25.8963
51.4667,35.051
51.4985,48.9056
51.5878,95.187
51.6235,108.372
51.6571,113.266
51.6598,113.292
51.6931,109.107
51.7303,95.8144
51.826,46.5952
51.8573,33.4062
51.8818,25.2565
51.905,19.1976
51.9278,14.6738
51.9492,11.4839
51.9706,9.09987
51.9896,7.50412
52.0143,5.97551
52.0399,4.85194
52.0684,3.97213
52.099,3.30454
52.1396,2.69014
52.1847,2.22133
52.2417,1.81428
52.3011,1.52101
52.3723,1.27579
52.4435,1.10446
52.5385,0.949212
52.6572,0.830275
52.7997,0.758656
52.9093,0.742538
53.0361,0.761906
53.1628,0.826736
53.2806,0.942212
53.3804,1.10419
53.4636,1.31193
53.5325,1.56586
53.5896,1.86715
53.6371,2.2204
53.6799,2.66859
53.7155,3.19806
53.744,3.78773
53.7726,4.61174
53.7987,5.68372
53.8225,7.05059
53.8463,8.95312
53.8672,11.2308
53.89,14.5609
53.9128,18.997
53.9366,25.0284
53.9632,33.7019
53.9936,46.1132
