91-Pa-231(n,total fission) ENDF/B-VII.1
8.9148,8.68448E-4
8.92823,8.06135E-4
8.94167,7.93274E-4
8.95958,8.1963E-4
8.99179,9.29909E-4
9.04469,0.00119255
9.09476,0.00152353
9.1268,0.0018213
9.15684,0.00222208
9.21493,0.00324605
9.23495,0.00342289
9.23996,0.00342969
9.25999,0.00328641
9.28182,0.00286797
9.31382,0.00212691
9.33009,0.00185634
9.34511,0.00171246
9.36263,0.00166436
9.38417,0.00173307
9.42723,0.00206429
9.48414,0.00264717
9.52629,0.00324694
9.55188,0.00378972
9.57332,0.00447171
9.59048,0.00527997
9.60742,0.00642414
9.62575,0.00815763
9.65095,0.011333
9.67883,0.0149242
9.69341,0.0161115
9.70387,0.0164257
9.72007,0.0158703
9.7363,0.0141248
9.76375,0.00964782
9.78219,0.00668872
9.79506,0.00502608
9.80578,0.00395974
9.81607,0.003205
9.82636,0.00268431
9.8373,0.00234147
9.84824,0.00216403
9.86282,0.00210414
9.88469,0.00222919
9.919,0.0026344
9.97515,0.00349639
10.0243,0.00448244
10.0644,0.00559437
10.0975,0.00691318
10.1235,0.00841576
10.1444,0.0101932
10.1619,0.0123733
10.1749,0.0146841
10.1873,0.0177717
10.1998,0.0221
10.211,0.0274712
10.2216,0.0342272
10.2329,0.0435766
10.246,0.0577884
10.2609,0.078565
10.3061,0.154291
10.3204,0.171239
10.3352,0.17879
10.3372,0.178923
10.3514,0.173661
10.3689,0.15373
10.3994,0.100843
10.4188,0.0683168
10.4323,0.0501592
10.4443,0.0375331
10.4555,0.028526
10.4655,0.0225045
10.4755,0.018012
10.4854,0.0147259
10.4957,0.0122996
10.5078,0.0103455
10.52,0.00907947
10.5362,0.00809705
10.5483,0.00772048
10.5649,0.00756469
10.5818,0.00776765
10.603,0.00856532
10.6199,0.00977143
10.6353,0.0114802
10.6492,0.013696
10.666,0.0173829
10.6839,0.0226772
10.7275,0.0378443
10.7416,0.0412238
10.7566,0.0426128
10.7728,0.0410957
10.7888,0.0366925
10.8125,0.0268042
10.8368,0.0161881
10.85,0.011431
10.8611,0.00819674
10.8702,0.00610124
10.8784,0.00462695
10.8865,0.00347865
10.8935,0.00270592
10.9006,0.00211692
10.9077,0.00168139
10.9148,0.00137147
10.9219,0.00116264
10.928,0.00104812
10.9361,9.68081E-4
10.9432,9.51109E-4
10.9523,9.83836E-4
10.9644,0.00109659
10.9806,0.00133117
11.0014,0.00173279
11.0243,0.00229561
11.0464,0.00298874
