96-Cm-242(n,total fission) ENDF/B-VII.1
130.843,0.490815
130.869,0.400248
130.899,0.323811
130.931,0.2683
130.966,0.223315
131.011,0.184231
131.065,0.151931
131.132,0.123936
131.212,0.100457
131.297,0.0827234
131.401,0.067035
131.511,0.0550928
131.636,0.0452367
131.782,0.0369443
131.942,0.030379
132.121,0.025112
132.341,0.020486
132.591,0.016823
132.882,0.0138721
133.227,0.0114989
133.62,0.00969586
134.013,0.00849236
134.556,0.00740964
135.099,0.00674186
135.824,0.00627069
136.911,0.00612455
138.152,0.00650211
139.256,0.00728956
140.291,0.0085083
141.154,0.00999804
142.016,0.0121504
142.8,0.0150218
143.553,0.0190002
144.118,0.0234029
144.62,0.0289277
145.028,0.0351789
145.428,0.043669
145.768,0.0538082
146.082,0.0669457
146.354,0.0828388
146.583,0.101364
146.792,0.124484
146.97,0.151579
147.149,0.189059
147.298,0.2326
147.442,0.291882
147.561,0.360572
147.663,0.442188
147.752,0.540863
147.837,0.673523
147.901,0.814818
147.954,0.980004
148.003,1.19751
148.046,1.47286
148.079,1.78561
148.113,2.22307
148.143,2.75244
148.173,3.47164
148.204,4.49392
148.234,5.81678
148.262,7.49602
148.294,9.87876
148.324,12.8773
148.36,17.3247
148.402,24.0513
148.455,34.4342
148.578,61.8522
148.635,71.4246
148.688,75.3754
148.7,75.5051
148.751,72.8904
148.812,63.7619
148.97,29.0994
149.015,21.0018
149.054,15.486
149.089,11.4501
149.12,8.76243
149.149,6.78637
149.179,5.18819
149.21,3.99702
149.241,3.12005
149.27,2.50947
149.299,2.04426
149.333,1.65837
149.372,1.35158
149.412,1.12326
149.465,0.914427
149.529,0.743455
149.601,0.608529
149.69,0.491131
149.792,0.396656
149.907,0.321272
150.041,0.258964
150.188,0.210618
150.357,0.170986
150.549,0.13977
150.757,0.116055
150.995,0.0974408
151.292,0.0824221
151.59,0.0736146
151.938,0.069291
152.047,0.0691492
152.359,0.0722057
152.567,0.0776573
152.775,0.0868992
152.935,0.0976604
153.102,0.113958
153.24,0.13346
153.376,0.160516
153.497,0.195471
153.601,0.238457
153.684,0.287008
153.754,0.343464
153.809,0.406321
153.865,0.496899
153.906,0.596356
153.943,0.720377
153.974,0.86894
154.007,1.08846
154.037,1.37208
154.063,1.70065
154.089,2.13324
154.115,2.69839
154.143,3.48432
154.172,4.57447
154.205,6.14063
154.237,8.14383
154.276,11.2143
154.323,15.9341
154.393,24.5129
154.489,36.5526
154.547,41.4647
154.6,43.0115
154.649,41.6707
154.704,37.2325
154.789,26.7969
154.868,16.9183
154.914,12.142
154.951,8.98442
154.986,6.66619
155.019,4.9408
155.047,3.80314
155.075,2.94322
155.103,2.28546
155.131,1.78887
155.159,1.40762
155.19,1.11234
155.22,0.898933
155.255,0.725257
155.294,0.589755
155.335,0.489599
155.387,0.403028
155.45,0.331533
155.523,0.273016
155.616,0.220058
155.727,0.176291
155.849,0.142609
155.988,0.115273
156.133,0.0946516
156.303,0.0772484
156.48,0.0640668
156.688,0.0527118
156.931,0.0431182
157.198,0.0354982
157.542,0.0285502
157.895,0.0234773
158.308,0.019235
158.794,0.0156797
159.336,0.0128813
160.02,0.0103743
160.715,0.0086118
161.508,0.00712577
162.5,0.00581113
163.492,0.00486601
164.782,0.00399222
166.269,0.00330997
167.261,0.0029489
168.848,0.00251748
170.832,0.00213658
173.213,0.00181701
175.594,0.00161108
177.974,0.00145485
181.149,0.00132551
185.681,0.00123635
188.398,0.00121779
195.19,0.00128094
199.265,0.00139389
204.019,0.00161207
207.415,0.0018537
