94-Pu-243(n,total fission) ENDF/B-VII.1
51.3276,14.9865
51.349,18.5838
51.3713,23.6945
51.3941,30.7973
51.4169,40.3189
51.4401,53.0489
51.4667,71.8025
51.4985,100.184
51.5878,194.992
51.6235,222.002
51.6571,232.028
51.6598,232.081
51.6931,223.507
51.7303,196.277
51.826,95.451
51.8573,68.4332
51.8818,51.7384
51.905,39.3266
51.9278,30.0595
51.9492,23.525
51.9706,18.6413
51.9896,15.3723
52.0143,12.241
52.0399,9.9393
52.0684,8.13699
52.099,6.76944
52.1396,5.51082
52.1847,4.55046
52.2417,3.71661
52.3011,3.11584
52.3723,2.6135
52.4435,2.26254
52.5385,1.9445
52.6572,1.70086
52.7997,1.55415
52.9093,1.52113
53.0361,1.5608
53.1628,1.69361
53.2806,1.93016
53.3804,2.26197
53.4636,2.68754
53.5325,3.20771
53.5896,3.82491
53.6371,4.54854
53.6799,5.46667
53.7155,6.55129
53.744,7.75924
53.7726,9.44725
53.7987,11.6432
53.8225,14.4433
53.8463,18.3406
53.8672,23.0065
53.89,29.8282
53.9128,38.9157
53.9366,51.271
53.9632,69.0389
53.9936,94.4635
54.0877,188.072
54.1235,213.081
54.1571,222.329
54.1598,222.378
54.1904,215.662
54.2266,192.467
54.2855,134.684
54.334,87.3239
54.3654,62.6653
54.392,46.3347
54.4153,35.331
54.4376,27.2751
54.459,21.45
54.4804,17.0856
54.5032,13.6554
54.5289,10.8926
54.5574,8.75403
54.5859,7.25659
54.6221,5.93274
54.6582,5.00237
54.7034,4.17159
54.7542,3.50676
54.8136,2.95414
54.8849,2.49
54.9681,2.12047
55.0632,1.84117
55.1583,1.66176
55.3009,1.51878
55.4094,1.48715
55.5358,1.52597
55.6622,1.65565
55.7797,1.88684
55.8797,2.21233
55.9629,2.6306
56.0319,3.14316
56.089,3.75358
56.1366,4.4731
56.1794,5.39299
56.2151,6.48963
56.2437,7.72082
56.2722,9.45144
56.2984,11.7089
56.3222,14.5848
56.346,18.5714
56.3669,23.3141
56.3897,30.1924
56.4126,39.267
56.4364,51.4745
56.463,68.8265
56.4982,97.5728
56.5877,181.622
56.6235,204.843
56.6598,213.447
56.6931,206.132
56.7304,182.736
56.8023,115.373
56.8446,77.9558
56.8755,56.1583
56.9022,41.597
56.926,31.6501
56.9474,24.8085
56.9688,19.6041
56.9926,15.3271
57.015,12.3957
57.0406,9.96333
57.0692,8.06713
57.0999,6.64498
57.1315,5.6019
57.1767,4.56198
57.2219,3.83949
57.2786,3.19915
57.3499,2.64513
57.4213,2.26447
57.5165,1.92303
57.6116,1.70317
57.7068,1.56459
57.8557,1.46333
57.9094,1.45543
58.0355,1.49346
58.1616,1.62024
58.2789,1.84651
58.3789,2.16619
58.4623,2.5778
58.5313,3.08355
58.5885,3.68822
58.6361,4.40507
58.679,5.32892
58.7147,6.44034
58.7469,7.88648
58.7754,9.74436
58.798,11.7933
58.8219,14.7434
58.8457,18.8135
58.8666,23.6242
58.8895,30.545
58.9123,39.5904
58.9395,53.552
58.9695,73.3743
59.0114,108.017
59.0819,171.219
59.1234,197.26
59.1598,205.248
59.1931,198.458
59.2305,176.674
59.2938,121.121
59.3422,79.4182
59.3724,58.2713
59.3991,43.4939
59.4238,32.8796
59.4477,25.1337
59.4715,19.3653
59.4953,15.1415
59.5181,12.1802
59.541,10.0034
59.5696,8.05641
59.6003,6.60225
59.632,5.54308
59.6682,4.67388
59.7134,3.90113
59.7672,3.25575
59.8268,2.75246
59.8982,2.32921
59.9934,1.95375
60.0887,1.71286
60.2077,1.53186
60.3562,1.4333
60.4094,1.4257
60.5352,1.46293
60.6609,1.58695
60.7781,1.80854
60.8782,2.12275
60.9617,2.52814
61.0308,3.02765
61.088,3.62734
61.1356,4.34267
61.1785,5.2723
61.2143,6.40072
61.2465,7.87952
61.2751,9.78661
61.2977,11.8903
61.3216,14.9112
61.3454,19.0577
61.3664,23.9258
61.3892,30.874
61.4121,39.8735
61.4393,53.621
61.4693,72.9141
61.5113,106.178
61.5818,165.872
61.6234,190.199
61.6598,197.635
61.6905,192.27
61.7267,173.579
61.7792,131.622
61.8373,82.5336
61.8693,60.2858
61.896,45.3587
61.9217,34.1011
61.9455,26.1289
61.9694,20.1267
61.9932,15.6924
62.0156,12.6204
62.0414,10.0563
62.07,8.05743
62.1007,6.56925
62.1324,5.49195
62.1686,4.61473
62.2139,3.84123
62.2678,3.19973
62.3274,2.70184
62.3989,2.28443
62.4704,1.99235
62.5657,1.72814
62.661,1.55926
62.8041,1.42585
62.9094,1.39771
63.0349,1.43421
63.1603,1.55567
63.2773,1.77291
63.3775,2.08205
63.461,2.48173
63.5302,2.97565
63.5874,3.57128
63.6352,4.28641
63.6781,5.2238
63.7139,6.37155
63.7425,7.68666
63.7711,9.55693
63.7974,12.0007
63.8212,15.0895
63.8451,19.3058
63.8661,24.2225
63.889,31.1859
63.9119,40.1269
63.9391,53.6514
63.9692,72.425
64.015,107.518
64.0817,160.868
64.1234,183.651
64.1598,190.594
64.1932,184.696
64.2306,165.663
64.2898,119.839
64.3451,76.192
64.3795,54.3016
64.4062,40.8723
64.4315,30.9616
64.4553,23.8084
64.4792,18.4237
64.5016,14.6456
64.5245,11.7742
64.5474,9.64973
64.576,7.74277
64.6056,6.36555
64.6419,5.19757
64.6782,4.38295
64.7235,3.66157
64.7803,3.03458
64.8518,2.49966
64.9234,2.13533
65.0188,1.81051
65.1143,1.60243
65.2097,1.47197
65.3573,1.3784
65.4095,1.37139
65.5346,1.40726
65.6598,1.52639
65.7766,1.73966
65.8769,2.04421
65.9605,2.43878
66.0297,2.92789
66.087,3.52052
66.1348,4.23703
66.1777,5.18449
66.2135,6.35428
66.2422,7.70176
66.2673,9.34172
66.2923,11.6058
66.3162,14.5709
66.3401,18.6019
66.362,23.5262
66.385,30.2046
66.4117,40.3645
66.4389,53.661
66.4738,75.15
