96-Cm-243(n,&gamma;) ENDF/B-VII.1
62.1978,1.31109
62.2787,1.48146
62.3494,1.73087
62.4191,2.09971
62.5068,2.73977
62.6081,3.51926
62.666,3.79803
62.7095,3.86071
62.7681,3.7327
62.8498,3.26443
62.9545,2.58841
63.0239,2.28074
63.093,2.12025
63.1275,2.08937
63.2118,2.13016
63.3137,2.36112
63.566,3.29802
63.6794,3.49827
63.7549,3.51684
63.8062,3.51346
63.9277,3.60999
64.0167,3.88834
64.1058,4.42263
64.1901,5.23229
64.2745,6.41998
64.3622,8.13758
64.4838,11.2763
64.6341,15.1953
64.7515,17.0588
65.0303,19.3857
65.0414,19.3948
65.1277,18.7007
65.2162,16.5002
65.3871,10.7811
65.4696,8.77219
65.5249,7.8639
65.5802,7.28827
65.6355,7.01973
65.6632,6.99632
65.731,7.25924
65.7989,8.0266
65.8619,9.27894
65.933,11.4167
66.0259,15.2713
66.1345,19.8676
66.1894,21.2275
66.2263,21.5056
66.2747,21.0119
66.3458,18.7479
66.5144,10.9043
66.5829,8.39958
66.6454,6.69377
66.7095,5.42169
66.7737,4.5138
66.8436,3.81834
66.9043,3.39109
66.9954,2.97003
67.0982,2.73105
67.1707,2.68532
67.2892,2.79404
67.4578,3.21036
67.5738,3.646
67.6686,4.23182
67.8553,5.94241
67.924,6.25038
67.9389,6.25687
68.0057,5.99432
68.0883,5.13233
68.2216,3.42821
68.2947,2.70761
68.3608,2.23658
68.4305,1.89051
68.5117,1.62149
68.6046,1.42575
68.7206,1.27924
68.8599,1.1861
69.0642,1.14316
69.2884,1.18093
69.482,1.27733
69.6541,1.42338
69.8154,1.63623
69.9499,1.90581
70.0574,2.22161
70.1784,2.7338
70.5446,4.76977
70.6651,5.55785
70.7512,6.49319
70.8266,7.76634
70.8913,9.33635
70.9639,11.7917
71.0363,15.1098
71.1297,20.595
71.4324,40.6957
71.5748,52.4459
71.6399,55.7999
71.6733,56.1298
71.7234,54.4625
71.7918,48.3252
71.9499,28.1608
72.0117,22.0306
72.0726,17.6703
72.1247,15.064
72.1943,12.763
72.2596,11.3947
72.3552,10.1761
72.4531,9.61869
72.4759,9.59291
72.5542,9.8468
72.6301,10.6309
72.7139,12.1809
72.7819,14.2003
72.8363,16.6447
72.8952,20.4987
72.9665,26.9114
73.055,35.3147
73.1076,38.3716
73.1398,38.935
73.1915,37.5823
73.2544,33.0697
73.3424,25.6977
73.385,23.1935
73.4284,21.7484
73.4728,21.3517
73.5527,22.4974
73.7335,27.1298
73.8086,27.9043
73.872,26.96
73.9326,24.3946
74.1018,13.5443
74.1574,10.8009
74.2131,8.84566
74.2587,7.73336
74.3317,6.55859
74.4707,5.11679
74.652,3.4893
74.7562,2.77691
74.8593,2.28778
74.9476,2.00511
75.0359,1.8124
75.1537,1.65374
75.2935,1.57305
75.3401,1.56904
75.4623,1.61597
75.5844,1.76636
75.6808,1.98963
75.7772,2.34119
75.8916,2.94662
76.0729,4.01593
76.1706,4.3223
76.2477,4.37551
76.3197,4.36222
76.3968,4.41241
76.5009,4.73707
76.6827,5.55903
76.8827,5.77617
76.9609,6.14259
77.0251,6.79672
77.1119,8.18473
77.2258,10.2244
77.2883,10.9018
77.3283,11.0169
77.3842,10.7124
77.4551,9.65658
77.6166,6.32006
77.6895,5.14658
77.7547,4.41112
77.8198,3.9458
77.8996,3.68712
77.9273,3.6686
77.998,3.77802
78.0686,4.10987
78.1581,4.83107
78.419,7.59751
78.6918,9.98831
78.7772,10.2393
78.8569,9.86257
78.9537,8.66778
79.1231,5.99981
79.2066,4.98989
79.2933,4.27012
79.4163,3.64173
79.6321,2.68079
79.7891,1.96039
79.8854,1.63356
79.9956,1.37971
80.1057,1.22105
80.2563,1.10665
80.3724,1.08056
80.4956,1.11402
80.5983,1.20671
80.7009,1.385
80.8036,1.66671
80.9884,2.26455
81.089,2.44638
81.2415,2.58911
81.3195,2.81854
81.3785,3.16549
81.4465,3.80176
81.5379,5.02191
81.6498,6.55542
81.7157,7.02866
81.74,7.06857
81.7955,6.86998
81.8649,6.14651
82.0175,3.99282
82.0869,3.26322
82.1443,2.85514
82.2043,2.59972
82.2757,2.48517
82.2872,2.48316
82.3558,2.55079
82.4472,2.80866
82.7822,4.11234
82.8645,4.70066
82.9363,5.56531
83.0295,7.20364
83.1675,9.82105
83.3587,12.443
83.4194,13.8792
83.4966,16.6874
83.657,23.8667
83.7271,25.3882
83.7415,25.4443
83.8025,24.5973
83.8648,22.0667
84.043,11.4272
84.1024,8.6269
84.1523,6.832
84.206,5.40076
84.2597,4.3779
84.3134,3.65265
84.371,3.10822
84.4285,2.73264
84.4946,2.44928
84.5805,2.24697
84.7054,2.16044
84.7279,2.15894
85.0119,2.22808
85.2378,2.40205
85.3452,2.3189
85.4357,2.11093
85.6533,1.46441
85.724,1.31402
85.7946,1.21426
85.8865,1.16729
85.9459,1.19154
86.0222,1.28963
86.2265,1.72853
86.2904,1.77777
86.3671,1.71012
86.4613,1.48241
86.5876,1.14914
86.6674,1.01482
86.7393,0.957711
86.7633,0.951322
86.8296,0.965076
86.8958,1.02647
86.9645,1.14804
87.0331,1.34125
87.1109,1.65717
87.2802,2.51598
87.3424,2.72159
87.3929,2.77699
87.4595,2.68096
87.5492,2.31964
87.6828,1.67748
87.7606,1.40887
87.8293,1.26015
87.8979,1.18463
87.9391,1.1697
88.0171,1.19819
88.0952,1.30189
88.1642,1.46252
88.2562,1.78213
88.4799,2.75684
88.9676,4.22057
89.0879,4.72323
89.3029,5.94592
89.4315,6.21603
89.6248,6.4908
89.8344,7.21556
89.8752,7.26089
89.9647,7.03208
90.0452,6.40344
90.2549,4.03531
90.3382,3.34065
