91-Pa-231(n,&gamma;) ENDF/B-VII.1
26.2489,16.8052
26.2658,13.8019
26.2827,11.6615
26.3042,9.74324
26.3273,8.31504
26.3561,7.0768
26.3903,6.08203
26.4349,5.2599
26.4684,4.89046
26.5123,4.67882
26.5211,4.67653
26.5505,4.79631
26.5741,5.09412
26.5977,5.69052
26.6183,6.60928
26.6356,7.80964
26.6532,9.60271
26.6707,12.1573
26.6883,15.6615
26.7059,20.2645
26.727,27.306
26.7596,40.8565
26.8018,58.6887
26.8281,66.0532
26.8503,68.1593
26.8721,66.1151
26.8942,60.3284
26.9339,44.4179
26.9675,30.5925
26.9896,23.2827
27.0084,18.5676
27.0235,15.8228
27.0408,13.7399
27.0544,12.8658
27.0657,12.6289
27.077,12.8459
27.092,13.8936
27.1071,15.9388
27.1217,19.0994
27.1364,23.7044
27.151,30.1053
27.1657,38.6865
27.182,51.2745
27.1984,67.397
27.2202,94.4744
27.2574,151.588
27.291,202.22
27.3155,227.77
27.3397,236.871
27.3614,229.483
27.3854,206.045
27.424,148.369
27.4598,93.5085
27.4816,66.4552
27.4989,49.5071
27.5152,37.0072
27.5306,28.0208
27.5452,21.6579
27.5597,16.926
27.5742,13.4589
27.59,10.7598
27.6053,8.90253
27.6237,7.35285
27.6421,6.29157
27.6666,5.34198
27.6958,4.61419
27.7281,4.09389
27.7712,3.67125
27.8143,3.44993
27.8574,3.38425
27.9077,3.50646
27.9417,3.75457
27.973,4.19031
27.993,4.65
28.0154,5.45286
28.0335,6.45325
28.0493,7.71345
28.0652,9.47347
28.0805,11.8075
28.0964,15.0446
28.114,19.8412
